PMID,title,subjects,patient_groups,imaging_modalities,whitematter_tracts,analysis_software,study_type,diffusion_measures,template_space,results_method,white_integrity,question_of_study,DTI_study,Human_study,Dementia_study,Disease_study
29027841,Diffusion tensor tractography in cerebral small vessel disease: correlation with cognitive function,humans,Cerebral small vessel disease,diffusion MRI;Anatomical MRI,,,single study,FA;MD,,correlation,decrease,Cerebral small vessel disease patients: DTI measures vs cognitive function,yes,yes,no,Cerebral Small Vessel Disease
26444762,Diffusion Kurtosis Imaging: A Possible MRI Biomarker for AD Diagnosis?,humans,Cognitively healthy controls;Dementia due to AD;Mild Cognitive Impairment due to AD,Diffusion Tensor Imaging;Diffusion Kurtosis Imaging;diffusion MRI;Anatomical MRI,Corona Radiata;Corpus Callosum - Splenium,,single study,MK,population-specific atlas space,voxel-based analysis (VBA),no mention,Are DTI and DKI parameter changes reliable measures of white matter integrity changes in Alzheimer's disease patients?;Dementia due to AD vs controls;MCI due to AD vs controls,yes,yes,yes,Mild Cognitive Impairment;Dementia;Alzheimers Disease
38905054,White Matter Microstructure Changes Revealed by Diffusion Kurtosis and Diffusion Tensor Imaging in Mutant Huntingtin Gene Carriers,humans,high CAP (hCAP) group;mutant huntingtin (mHTT) carriers;medium/low CAP (m lCAP) group;Healthy controls,diffusion kurtosis imaging;diffusion tensor imaging;diffusion MRI,,,single study,FA;MK,,ROC;Youden index;Spearman correlation,decrease,mutant huntingtin carriers vs controls;comparison of DKI and DTI validity in HD;hCAP vs m/lCAP groups,yes,yes,no,
31613387,Brain structure changes in nondemented seniors after sixmonth dance-exercise intervention,humans,nondemented seniors,,,,single study,,,,no mention,Effect of six-month dance-exercise intervention on brain structure in nondemented seniors (pre vs post intervention),no,yes,no,
30192691,Diffusion tensor imaging based white matter changes and antioxidant enzymes status for early identification of mild cognitive impairment,humans,Mild cognitive impairment;Healthy controls,diffusion MRI,Fornix;Forceps Major;Corpus Callosum,,single study,FA;ADC,,,no mention,Mild cognitive impairment vs Healthy controls,yes,yes,yes,Mild Cognitive Impairment
23142262,Contribution of Neuroimaging to the Diagnosis of Alzheimers Disease and Vascular Dementia Q3,humans,Mixed dementias;Mild cognitive impairment;Vascular dementia;Alzheimer's disease,fMRI;PET;SPECT;CT;Anatomical MRI;diffusion MRI;MRS;ASL,,,review,,,,,Early diagnosis and progression from mild cognitive impairment to dementia;Contribution of neuroimaging to the diagnosis of Alzheimer's disease and vascular dementia,yes,yes,yes,Vascular Dementia;Mild Cognitive Impairment;Dementia;Alzheimers Disease
22592372,White matter imaging contributes to the multimodal diagnosis of frontotemporal lobar degeneration,humans,Frontotemporal lobar degeneration;Healthy controls;Alzheimer's disease,diffusion MRI;Anatomical MRI,Corpus Callosum,,single study,FA,,ROC curves,decrease,Frontotemporal lobar degeneration vs Alzheimer's disease;White matter vs gray matter for distinguishing FTLD and AD,yes,yes,yes,Frontotemporal Dementia;Alzheimers Disease
26228096,Short-Term White Matter Alterations in Alzheimers Disease Characterized by Diffusion Tensor Imaging,humans,Alzheimer's disease,diffusion MRI;Anatomical MRI,Global;Superior Longitudinal Fasciculus;Corpus Callosum - Splenium,DTI-ToolKit;FSL,single study,FA;MD;AD;RD,,atlas-based analysis;voxel-wise analysis,decrease;increase,Longitudinal white matter changes in mild-moderate Alzheimer's patients over 6 months,yes,yes,yes,Alzheimers Disease
36300327,Retinal capillary microvessel morphology changes are associated with vascular damage and dysfunction in cerebral small vessel disease,humans,Minor stroke,diffusion MRI,,,single study,FA;MD,,regression,decrease,retinal vessel morphology vs white matter integrity and cerebrovascular reactivity in minor stroke patients,yes,yes,no,Cerebral Small Vessel Disease
25230999,"Depression in small-vessel disease relates to white matter ultrastructural damage, not disability",humans,Lacunar stroke;Non-SVD stroke;Cerebral Small Vessel Disease;Healthy controls,diffusion MRI;diffusion tensor imaging (DTI),,,single study,FA,,path analysis,no mention,Does white matter damage mediate the association between SVD and depression?;patients with cerebral small-vessel disease vs non-SVD stroke and healthy controls,yes,yes,no,Cerebral Small Vessel Disease
36530082,Diffusion Changes in Hippocampal Cingulum in Early Biologically Defined Alzheimers Disease,humans,AT CN;A-T-CN;Alzheimers continuum;AT AD;AT mild cognitive impairment;cognitively normal;AT-CN,PET;diffusion MRI,Uncinate Fasciculus;Hippocampal Cingulum;Cingulate Cingulum,,single study,FA,,group differences;correlation,no mention,AT CN vs A-T-CN;Alzheimers continuum vs A-T-CN,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
22992380,Anatomical MRI and DTI in the Diagnosis of Alzheimers Disease: A European Multicenter Study,humans,Healthy controls;Alzheimer's disease,diffusion MRI;Anatomical MRI,Cingulum;Fornix;Corpus Callosum,,single study,FA;MD,,random effects model;voxel-based analysis;voxel-based meta-analysis;linear model,decrease;increase,Alzheimer's disease patients vs healthy elderly controls,yes,yes,yes,Alzheimers Disease
20615058,Diagnostic Utility of Cerebral White Matter Integrity in Early Alzheimers Disease,humans,Healthy controls;Alzheimer's disease,diffusion tensor imaging;Anatomical MRI,Internal Capsule,,single study,FA;MD,,discriminant analysis,decrease,Very mild Alzheimer's disease (DAT) patients vs healthy controls,yes,yes,yes,Alzheimers Disease
28818116,Distinct white matter microstructural abnormalities and extracellular water increases relate to cognitive impairment in Alzheimers disease with and without cerebrovascular disease,humans,Cerebrovascular disease;Alzheimer's disease;Mixed dementia;Healthy controls;Vascular dementia,diffusion MRI;diffusion tensor imaging (DTI);Anatomical MRI,,,single study,Free water;Free water-corrected DTI;DTI metrics,,voxel-wise analysis;correlation;group comparison,increase,Alzheimer's disease vs Healthy controls;Vascular dementia vs Healthy controls;Alzheimer's disease with cerebrovascular disease vs Alzheimer's disease without cerebrovascular disease;Cerebrovascular disease groups vs non-cerebrovascular disease groups,yes,yes,yes,Vascular Dementia;Dementia;Alzheimers Disease
38825988,Multimodal cross-examination of progressive apraxia of speech by diffusion tensor imaging-based tractography and Tau-PET scans,humans,Healthy controls;Progressive apraxia of speech (PAOS);Non-fluent/agrammatic primary progressive aphasia (agPPA);Primary progressive apraxia of speech (PPAOS),PET;diffusion MRI;Anatomical MRI,Arcuate Fasciculus;Inferior Fronto-Occipital Fasciculus;Middle Longitudinal Fasciculus;Frontal Aslant Tract;Inferior Longitudinal Fasciculus,DSI-studio,single study,FA,,,decrease,PAOS patients vs healthy controls,yes,yes,no,
28600739,"Association of longitudinal white matter degeneration and cerebrospinal fluid biomarkers of neurodegeneration, inflammation and Alzheimers disease in late-middle-aged adults",humans,late-middle-aged adults,diffusion MRI,Cingulum;Global,,single study,FA;MD,,linear mixed effects;regression,decrease,"CSF biomarkers (AD, neurodegeneration, inflammation) vs white matter degeneration in late-middle-aged adults",yes,yes,yes,Alzheimers Disease
16614789,White matter damage of patients with Alzheimers disease correlated with the decreased cognitive function,humans,Healthy controls;Alzheimer's disease,diffusion MRI;Anatomical MRI,Corpus Callosum - Genu;Internal Capsule;Corpus Callosum - Splenium;posterior limb of internal capsule,,single study,FA;MD,,correlation,decrease;increase,white matter damage correlation with cognitive function (MMSE);Alzheimer's disease patients vs healthy controls,yes,yes,yes,Alzheimers Disease
34841903,Olfactory Function and Diffusion Tensor Imaging as Markers of Mild Cognitive Impairment in Early Stages of Parkinsons Disease,humans,PD-MCI;Parkinsons disease;PD-NC,diffusion MRI;MRI,Olfactory Tract,,single study,,,,no mention,"PD-MCI vs PD-NC;links among cognitive impairment, olfactory functioning, and white matter integrity in early-stage Parkinsons disease",yes,yes,no,Parkinson Disease;Mild Cognitive Impairment
28695358,Retained executive abilities in mild cognitive impairment are associated with increased white matter network connectivity,humans,Mild Cognitive Impairment;Low executive ability MCI;High executive ability MCI,diffusion MRI,Inferior Longitudinal Fasciculus;Global;Superior Longitudinal Fasciculus,,single study,FA,,,increase,MCI high executive ability vs MCI low executive ability,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
25151438,White Matter Integrity and Depressive Symptoms in Cerebral Small Vessel Disease: The RUN DMC Study,humans,Depressive symptoms;Cerebral small vessel disease;Non-depressed participants,diffusion MRI,Corpus Callosum - Genu;Corona Radiata;Inferior Fronto-Occipital Fasciculus;Uncinate Fasciculus;body of corpus callosum,TBSS,single study,FA;MD;AD;RD,,,decrease,Elderly with depressive symptoms vs non-depressed participants (all with cerebral small vessel disease),yes,yes,no,Cerebral Small Vessel Disease
25318544,Atlas-Based Diffusion Tensor Imaging Correlates of Executive Function,humans,Mild Cognitive Impairment;Healthy controls;Alzheimer's disease,diffusion MRI;DTI,,,single study,FA;MD,,ANOVA;regression,decrease,AD vs Healthy controls;Relationship between executive function and regional white matter integrity in MCI and AD;MCI vs Healthy controls,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
14966162,Diffusion tensor MRI correlates with executive dysfunction in patients with ischaemic leukoaraiosis,humans,ischaemic leukoaraiosis;Healthy volunteers,diffusion MRI;T2 weighted MRI;Anatomical MRI,,,single study,MD,,correlation;regression,decrease,ischaemic leukoaraiosis patients vs healthy volunteers;DTI measures vs T2 lesion load in relation to cognitive performance,yes,yes,no,Cerebral Small Vessel Disease;Small Vessel Ischemic Disease
36710670,Fully Connected Multi-Kernel Convolutional Neural Network Based on Alzheimers Disease Diagnosis,humans,Mild Cognitive Impairment;Alzheimer's disease,diffusion tensor imaging;diffusion MRI,Cingulum;Uncinate Fasciculus;Global;Corpus Callosum,,single study,,,classification;convolutional neural network,no mention,Diagnose Alzheimer's disease and Mild Cognitive Impairment using DTI-based deep learning,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
34891857,Altered Connection and Diagnosis Utility of White Matter in Alzheimers Disease: A Multi-site Automated Fiber Quantification Study,humans,Healthy controls;Alzheimer's disease,diffusion weighted MRI;diffusion MRI;DTI,,Automated Fiber Quantification (AFQ),single study,,,classification;cross-validation;support vector machine,decrease,Alzheimer's disease vs healthy controls,yes,yes,yes,Alzheimers Disease
34062262,MRI characterization of rat brain aging at structural and functional level: Clues for translational applications,rats,aged rats;middle-aged rats;young rats,diffusion MRI;fMRI;Anatomical MRI,,,single study,,,,no mention,young rats vs middle-aged and aged rats;identify comparable biomarkers in rodents and humans;physiological age-related changes in rats,yes,no,no,
23876903,Initial study of magnetic resonance diffusion tensor imaging in brain white matter of early AIDS patients,humans,AIDS patients;asymptomatic AIDS patients;Healthy controls;symptomatic AIDS patients,diffusion MRI;Anatomical MRI,body of corpus callosum;Internal Capsule;Corpus Callosum - Splenium;Corpus Callosum;posterior limb of internal capsule,,single study,FA;ADC,,,decrease;increase,symptomatic AIDS patients vs asymptomatic AIDS patients vs Healthy controls;AIDS patients vs Healthy controls;asymptomatic AIDS patients vs Healthy controls,yes,yes,no,
29959265,Loss of white matter integrity reflects tau accumulation in Alzheimer disease defined regions,humans,cognitively normal;cognitively impaired,PET;diffusion MRI,,,single study,FA;MD,,regression,decrease,association between white matter integrity and Aβ and tau deposition,yes,yes,yes,Alzheimers Disease
24947353,,,,,,,,,,,,,no,no,no,
26288751,Altered whole-brain white matter networks in preclinical Alzheimer3s disease,humans,Preclinical Alzheimer's disease;Healthy controls,PET;diffusion MRI;Anatomical MRI,,,single study,FA;MD,,,no change,Preclinical Alzheimer's disease vs Healthy controls,yes,yes,yes,Alzheimers Disease
26028932,"Comparison of Regional Gray Matter Atrophy, White Matter Alteration, and Glucose Metabolism as a Predictor of the Conversion to Alzheimers Disease in Mild Cognitive Impairment",humans,Mild Cognitive Impairment (converters);Mild Cognitive Impairment (non-converters);Alzheimer's disease,FDG-PET;diffusion MRI;Anatomical MRI,,,single study,FA,,voxel-based analysis;classification,no change,Mild Cognitive Impairment converters vs non-converters;Prediction of conversion to Alzheimer's disease in MCI,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
33772083,Free-water diffusion tensor imaging improves the accuracy and sensitivity of white matter analysis in Alzheimers disease,humans,Healthy controls;Alzheimer's disease,diffusion weighted MRI;diffusion MRI;Anatomical MRI,Cingulum;Fornix;Superior Longitudinal Fasciculus;Corpus Callosum;Anterior Thalamic Radiation;Inferior Longitudinal Fasciculus;Corticospinal Tract,,single study,FW;AxD;FA;RD;MA,,,decrease;increase,Comparison of standard DTI vs FW-DTI metrics in mild-to-moderate Alzheimer's disease and healthy controls,yes,yes,yes,Alzheimers Disease
34334777,Changes in the connection network of whole-brain fiber tracts in patients with Alzheimers disease have a tendency of lateralization,humans,Alzheimer's disease,diffusion MRI,Global,,single study,,,,no mention,Changes in whole-brain fiber tract connectivity in Alzheimer's disease patients (lateralization),no,yes,yes,Alzheimers Disease
28180075,Independent value added by diffusion MRI for prediction of cognitive function in older adults,humans,dementia;early mild cognitive impairment;cognitively normal;late mild cognitive impairment,FDG PET;diffusion MRI;AV45 PET;Anatomical MRI,Global,,single study,MD,,regression,decrease,Whether dMRI-based global MD provides independent information about baseline level or change in executive function or memory in older adults with and without cognitive impairment,yes,yes,yes,Mild Cognitive Impairment;Dementia
23583480,Longitudinal white matter changes in Alzheimers disease: A tractography-based analysis study,humans,Healthy controls;Alzheimer's disease,diffusion MRI,Inferior Longitudinal Fasciculus;Uncinate Fasciculus;Inferior Occipitofrontal Fasciculus,,single study,FA;MD;AD;RD,,,decrease;increase,longitudinal changes in Alzheimer's disease;Alzheimer's patients vs controls,yes,yes,yes,Alzheimers Disease
21356112,Causes and consequences of cerebral small vessel disease. The RUN DMC study: a prospective cohort study. Study rationale and protocol,humans,Non-demented elderly;Cerebral Small Vessel Disease,DTI;diffusion MRI;fMRI;Anatomical MRI,,,single study,,,,,"Association between cerebral small vessel disease, white matter microstructural integrity, and incident dementia and parkinsonism; risk factors and cognitive and motor consequences in elderly with SVD",yes,yes,yes,Cerebral Small Vessel Disease
32730718,Brain microstructural changes and cognitive function in non-demented essential tremor patients: a diffusion tensor imaging study,humans,Non-demented essential tremor patients,diffusion MRI;Anatomical MRI,Inferior Fronto-Occipital Fasciculus;Anterior Thalamic Radiation;Corpus Callosum,,single study,FA;MD,,correlation,no mention,Non-demented essential tremor patients: brain microstructural changes vs cognitive function,yes,yes,no,
15087585,Ultrastructural Hippocampal and White Matter Alterations in Mild Cognitive Impairment: A Diffusion Tensor Imaging Study,humans,Alzheimers disease;Mild Cognitive Impairment;Healthy controls,diffusion MRI;Anatomical MRI,Corpus Callosum - Genu;Corpus Callosum - Splenium,,single study,FA;MD,,,decrease,MCI patients vs AD patients and healthy controls,yes,yes,yes,Alzheimers Disease
21872362,Distinctive disruption patterns of white matter tracts in Alzheimers disease with full diffusion tensor characterization,humans,Healthy controls;amnestic mild cognitive impairment;Alzheimer's disease,diffusion MRI;diffusion tensor imaging (DTI),Cingulum Bundle;Fornix,,single study,FA;MD;AD;RD,,correlation,no mention,amnestic mild cognitive impairment vs Healthy controls;Alzheimer's disease patients vs Healthy controls;progression of white matter disruption from aMCI to Alzheimer's disease,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
25444606,Network and connectivity Connectivity network measures predict volumetric atrophy in mild cognitive impairment,humans,Mild Cognitive Impairment,diffusion weighted MRI;Anatomical MRI,Global,,single study,,,,no mention,baseline white-matter connectivity measures predict future volumetric brain atrophy in mild cognitive impairment,no,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
39740225,MRI free water mediates the association between diffusion tensor image analysis along the perivascular space and executive function in four independent middle to aged cohorts,humans,,diffusion MRI,,,single study,,,mediation analysis,,Does MRI free water mediate the association between DTI-ALPS (diffusion tensor image analysis along the perivascular space) and executive function in middle-to-aged cohorts?,yes,yes,no,
34921119,The heritability of amyloid burden in older adults: the Older Australian Twins Study,humans,Monozygotic twins;Dizygotic twins;Older adults,amyloid PET;diffusion MRI;Anatomical MRI,,,single study,MD,,correlation;structural equation modelling,no mention,heritability of cerebral β-amyloid load in older adults (MZ vs DZ twins);genetic correlation between amyloid burden and small vessel disease markers,yes,yes,no,
32574842,Characterizing white matter connectivity in Alzheimers disease and mild cognitive impairment: An automated fiber quantification analysis with two independent datasets,humans,Mild Cognitive Impairment;Healthy controls;Alzheimer's disease,diffusion MRI;diffusion tensor imaging (DTI),,AFQ,single study,,,pointwise analysis,no mention,aMCI patients vs controls;Alzheimer's patients vs controls,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
19342541,White Matter Involvement in Idiopathic Parkinson Disease: A Diffusion Tensor Imaging Study,humans,Healthy controls;Parkinson's disease,diffusion MRI,Corpus Callosum - Genu;Cingulum;Superior Longitudinal Fasciculus;Corpus Callosum - Splenium;Internal Capsule;Corticospinal Tract,,single study,FA;MD,,,decrease;increase,Parkinson's disease patients vs healthy controls,yes,yes,no,Parkinson Disease
35358703,CSF Tau phosphorylation at Thr205 is associated with loss of white matter integrity in autosomal dominant Alzheimer disease,humans,Autosomal Dominant Alzheimer'S Disease,,,,single study,,,,decrease,CSF Tau phosphorylation at Thr205 associated with white matter integrity in autosomal dominant Alzheimer'S disease,no,yes,yes,Autosomal Dominant Alzheimer'S Disease
33681461,Systematic Assessment of the Impact of DTI Methodology on Fractional Anisotropy Measures in Alzheimers Disease,humans,Mild Cognitive Impairment;Healthy controls;Alzheimer's disease,diffusion MRI,Fornix;Corpus Callosum,CAMINO;DSI-Studio;AFNI;FSL,single study,FA,,intraclass correlation coefficient,no mention,Alzheimer's disease vs Healthy controls;Mild Cognitive Impairment vs Healthy controls;Alzheimer's disease vs Mild Cognitive Impairment,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
27357066,Diffusion Tensor Imaging to Map Brain Microstructural Changes in CADASIL,humans,CADASIL;Healthy controls,diffusion MRI;Anatomical MRI,Cingulum;Inferior Fronto-Occipital Fasciculus;Superior Longitudinal Fasciculus;Uncinate Fasciculus;Thalamic Radiation;Corpus Callosum;Forceps Major;Corticospinal Tract;External Capsule;Internal Capsule;Inferior Longitudinal Fasciculus;Forceps Minor;Cerebellar Peduncle,,single study,MD;AD;MO;FA;RD,,correlation;tract-based spatial statistics,decrease;increase,correlation between DTI indices and T2 hyperintensity (extended Fazekas score);CADASIL patients vs healthy controls,yes,yes,no,
30685818,Alterations of White Matter Integrity in Subcortical Ischemic Vascular Disease with and Without Cognitive Impairment: a TBSS Study,humans,Subcortical Ischemic Vascular Disease;pre-SVCI;SVCI;Normal controls,Diffusion Tensor Imaging (DTI);diffusion MRI,Corpus Callosum - Genu;Global,TBSS,single study,FA;MD;AD;RD,,correlation,decrease;increase,SIVD patients vs normal controls;SIVD patients with cognitive impairment (SVCI) vs SIVD patients without cognitive impairment (pre-SVCI),yes,yes,no,Cerebral Small Vessel Disease
24936411,Associations between white matter microstructure and amyloid burden in preclinical Alzheimers disease: A multimodal imaging investigation,humans,Amyloid indeterminate (Aβi);Preclinical Alzheimer's disease;Cognitively healthy;Amyloid positive (Aβ);Amyloid negative (Aβ-),Diffusion Tensor Imaging (DTI);PET;diffusion MRI,Fornix;Cingulum;Hippocampal Cingulum,,single study,FA;MD;AD;RD,,correlation;voxel-wise analysis;whole-brain analysis;ROI analysis,decrease;increase,Amyloid positive vs Amyloid negative;Association between amyloid burden and DTI metrics in preclinical Alzheimer's disease;Amyloid indeterminate vs Amyloid negative,yes,yes,yes,Alzheimers Disease
17522104,Diffusion tensor imaging in preclinical and presymptomatic carriers of familial Alzheimers disease mutations,humans,Preclinical FAD mutation carriers;Non-carriers;Familial Alzheimer's disease mutation carriers;Presymptomatic mutation carriers,diffusion MRI,Perforant Pathway;Fornix (Column And Body Of Fornix);Global,,single study,FA,,logistic regression;group comparison;linear regression,decrease,preclinical and presymptomatic mutation carriers vs non-carriers;FAD mutation carriers vs non-carriers,yes,yes,yes,Autosomal Dominant Alzheimer'S Disease;Alzheimers Disease
33778998,Neural correlates of the impulse dyscontrol domain of mild behavioral impairment,humans,Mild Cognitive Impairment;Healthy controls;Alzheimers Disease,diffusion MRI;Anatomical MRI,Superior Fronto-Occipital Fasciculus;Fornix;Uncinate Fasciculus;Cingulum,,single study,FA;MD;AD;RD,,regression,decrease;increase,Individuals with impulse dyscontrol vs individuals without impulse dyscontrol,yes,yes,yes,Mild Cognitive Impairment;Dementia;Alzheimers Disease
25700953,In vivo imaging of tau pathology using multi-parametric quantitative MRI,mice,age-matched control mice;rTg4510 transgenic mice,Chemical Exchange Saturation Transfer (CEST);Arterial Spin Labelling;glucose CEST;Anatomical MRI;diffusion MRI,,,single study,RD,,,decrease,rTg4510 transgenic mice vs age-matched controls,yes,no,yes,Alzheimers Disease
33612351,Comparative Evaluation of Diffusion Kurtosis Imaging and Diffusion Tensor Imaging in Detecting Cerebral Microstructural Changes in Alzheimer Disease,humans,Healthy controls;Alzheimer's disease,Diffusion Tensor Imaging;Diffusion Kurtosis Imaging;diffusion MRI;Anatomical MRI,,,single study,MK;MD;AK;RK;AD;FA;RD;KFA,,t-test;ROC analysis,decrease;increase,Alzheimer's disease patients vs controls,yes,yes,yes,Alzheimers Disease
32471036,White Matter Brain Network Research in Alzheimers Disease Using Persistent Features,humans,Mild Cognitive Impairment;Healthy controls;Alzheimer's disease,diffusion MRI,,,single study,,,,decrease;increase,Alzheimer's disease vs Mild Cognitive Impairment vs Healthy controls,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
31484188,Diffuse Tract Damage in CADASIL Is Correlated with Global Cognitive Impairment,humans,CADASIL;Healthy controls,diffusion MRI;DTI,Cingulum;Corona Radiata;Inferior Fronto-Occipital Fasciculus;Superior Longitudinal Fasciculus;Corpus Callosum;Thalamic Radiation;External Capsule;Internal Capsule;Inferior Longitudinal Fasciculus,,single study,FA;MD;AD;RD,,correlation,decrease;increase,Relationship between white matter microstructural alterations and cognitive impairment in CADASIL;CADASIL patients vs healthy controls,yes,yes,no,Cerebral Small Vessel Disease
33416206,Discriminating subcortical ischemic vascular disease and Alzheimers disease by diffusion kurtosis imaging in segregated thalamic regions,humans,Subcortical ischemic vascular disease;Normal cognition;Alzheimer's disease,diffusion kurtosis imaging;diffusion tensor imaging;Magnetic Resonance Imaging,,,single study,diffusivity;MK;FA;Axial kurtosis;Radial kurtosis,,correlation;connectivity analysis;canonical discriminant analysis,no mention,Subcortical ischemic vascular disease vs Alzheimer's disease vs Normal cognition using DKI metrics in thalamic regions,yes,yes,yes,Alzheimers Disease;Small Vessel Ischemic Disease
21905080,White Matter Lesions Defined by Diffusion Tensor Imaging in Older Adults,humans,older adults;Vascular brain injury;Alzheimer's disease,diffusion MRI,,,single study,FA;MD;AD;RD,,correlation,decrease,Vascular brain injury and Alzheimer's disease association with DTI-defined white matter lesions in older adults,yes,yes,yes,Alzheimers Disease
28729016,Learning-Based Structurally-Guided Construction of Resting-State Functional Correlation Tensors,humans,Mild Cognitive Impairment;Healthy controls,diffusion MRI;fMRI,,,single study,,,correlation;regression,no mention,MCI patients vs normal subjects,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
19385016,Atlas-based whole brain white matter analysis using large deformation diffeomorphic metric mapping: Application to normal elderly and Alzheimers disease participants,humans,Healthy controls;Alzheimer's disease,diffusion tensor imaging;diffusion MRI,,LDDMM,single study,,ICBM-152;Talairach;ICBM-DTI-81,kappa analysis,no mention,Alzheimer's disease patients vs healthy controls,yes,yes,yes,Alzheimers Disease
24866404,White matter integrity is associated with CSF markers of AD in normal adults,humans,Cognitively normal older adults,diffusion MRI;Anatomical MRI,Fornix;Inferior Fronto-Occipital Fasciculus;Superior Longitudinal Fasciculus;Corpus Callosum;Inferior Longitudinal Fasciculus,,single study,,,correlation;ROI analysis;voxelwise analysis,decrease,White matter integrity in cognitively normal older adults vs CSF markers of Alzheimer's disease,yes,yes,yes,Alzheimers Disease
25499674,White Matter Microstructural Integrity Is Associated with Executive Function and Processing Speed in Older Adults with Coronary Artery Disease,humans,Coronary artery disease,diffusion MRI;DTI,Inferior Fronto-Occipital Fasciculus;Parahippocampal Cingulum,,single study,FA,,regression,no mention,Coronary artery disease patients: association between white matter FA and cognitive function,yes,yes,no,
18050329,Gray and White Matter Changes in Alzheimers Disease: A Diffusion Tensor Imaging Study,humans,Healthy controls;Alzheimer's disease,diffusion MRI;DTI,posterior limb of internal capsule;Thalamic Radiation,,single study,FA;MD,,,decrease;increase,Alzheimer's disease patients vs healthy controls,yes,yes,yes,Alzheimers Disease
37541841,Association of Olfaction and Microstructural Integrity of Brain Tissue in Community-Dwelling Adults Atherosclerosis Risk in Communities Neurocognitive Study,humans,Cognitively normal participants;Mild Cognitive Impairment,diffusion MRI;Anatomical MRI,,,single study,FA;MD,,regression,decrease,association of brain microstructural integrity with olfaction;Mild Cognitive Impairment vs normal cognition (interaction),yes,yes,no,Mild Cognitive Impairment
29980072,Prosodic and Phonetic Subtypes of Primary Progressive Apraxia of Speech,humans,Primary progressive apraxia of speech;Prosodic PPAOS;Phonetic PPAOS,PET;diffusion MRI;Anatomical MRI,Superior Cerebellar Peduncle,,single study,,,,decrease,Phonetic PPAOS vs Prosodic PPAOS,yes,yes,no,
32522711,Neurobiology of Disease,,Alzheimer's disease,,,,,,,,decrease,relation between neurofilament light chain (NfL) levels and white matter decline,no,no,yes,Alzheimers Disease
24936424,White matter microstructure in late middle-age: Effects of apolipoprotein E4 and parental family history of Alzheimers disease,humans,Apolipoprotein E4 carriers;Parental family history of Alzheimers disease;Late middle-age adults,,,,single study,,,,,Effects of apolipoprotein E4 and parental family history of Alzheimers disease on white matter microstructure in late middle-age,no,yes,yes,Alzheimers Disease
28826185,White Matter Degradation is Associated with Reduced Financial Capacity in Mild Cognitive Impairment and Alzheimers Disease,humans,Mild Cognitive Impairment;Healthy controls;Alzheimer's disease,diffusion MRI,Cingulum;Corpus Callosum,,single study,FA;MD;AD,,ANOVA;regression,decrease,MCI and Alzheimer's patients vs healthy controls (association of white matter integrity with financial capacity),yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
19012862,White Matter Integrity Linked To Functional Impairments in Aging and Early Alzheimers Disease,humans,Healthy controls;Alzheimer's disease,diffusion MRI,Corpus Callosum - Splenium;Corpus Callosum,,single study,FA;MD,,correlation,decrease,Alzheimer's patients vs controls,yes,yes,yes,Alzheimers Disease
20619504,A meta-analysis of diffusion tensor imaging in mild cognitive impairment and Alzheimers disease,humans,Mild Cognitive Impairment;Alzheimer's disease,diffusion MRI,,,review,FA;MD,,meta-regression;t-test;meta-analysis,decrease;increase,Mild Cognitive Impairment vs controls;Alzheimer's disease vs Mild Cognitive Impairment;Alzheimer's disease vs controls,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
39420261,Investigating the association between the GAP-43 concentration with diffusion tensor imaging indices in Alzheimers dementia continuum,humans,Alzheimer's disease;Mild Cognitive Impairment;early MCI;late MCI;mid-MCI,diffusion MRI;DTI,Cingulum;Fornix;Corona Radiata;stria terminalis;Superior Fronto-Occipital Fasciculus,,single study,FA;MD;AD;RD,,correlation,decrease,Association between CSF GAP-43 levels and DTI indices in Alzheimer's dementia continuum (MCI stages),yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
29689722,Quantitative Magnetization Transfer of White Matter Tracts Correlates with Diffusion Tensor Imaging Indices in Predicting the Conversion from Mild Cognitive Impairment to Alzheimers Disease,humans,elderly controls;MCI converters;amnestic mild cognitive impairment;MCI stable,diffusion tensor imaging;magnetization transfer imaging;diffusion MRI,Cingulum Bundle;Uncinate Fasciculus,,single study,FA,,,decrease,predicting conversion from Mild Cognitive Impairment to Alzheimers Disease;MCI converters vs MCI stable,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
31271489,The joint effect of aging and HIV infection on microstructure of white matter bundles,humans,HIV-seropositive;HIV-seronegative,diffusion weighted MRI,,FADTTS,single study,FA;MD;AD;RD,,regression,decrease;increase,HIV-seropositive vs HIV-seronegative across aging;Effect of aging and HIV on white matter microstructure,yes,yes,no,
