pmcid,table_id,table_label,table_caption,table_foot,n_header_rows,table_data_file
11364465,TB1,Table 1,"Longitudinal statistical parametric mapping (SPM) demonstrated differences in the linear time dependence of fractional anisotropy (FA), axial diffusivity (AD), radial diffusivity (RD), and mean diffusivity (MD) maps between trainees and untrained subjects. To compare the differences at day 84 between trained and non-trained subjects, as well as the difference between days 28 and 84 for the trained subjects, the mean cluster of the linear changes was extracted and analyzed using Welch’s t-test and Bayesian statistics. The Bayes factor (BF01) is reported, where a value >1 indicates a preference for the null (H0) hypothesis. R = right, L = left.",,2,articles/8b4/pmcid_11364465/tables/table_000.csv
11364465,TB2,Table 2,"Correlations at baseline between fractional anisotropy (FA), axial diffusivity (AD), and response time (RT). R = right, L = left.",,1,articles/8b4/pmcid_11364465/tables/table_001.csv
11364465,TB3,Table 3,"Longitudinal statistical parametric mapping (SPM) analysis showing differences in the linear and quadratic time dependence for fractional anisotropy (FA), axial diffusivity (AD), radial diffusivity (RD), and mean diffusivity (MD) between upper limb trainees and lower limb trainees. R = right, L = left.",,1,articles/8b4/pmcid_11364465/tables/table_002.csv
11364465,TB4,Table 4,"Results from the in-time (i.e. no time shift in the same brain area contralateral hemisphere) and time-lag analysis (i.e. time shift in the corticospinal tract to contralateral cerebellum) for fractional anisotropy (FA), axial diffusivity (AD), radial diffusivity (RD), and mean diffusivity (MD).",,1,articles/8b4/pmcid_11364465/tables/table_003.csv
4684097,jhd-4-3-jhd150160-t001,Table 1,"Comparisons of demographic, clinical and behavioral characteristics of premanifest and early-HD gene-carrier participants; FET = Fisher’s Exact Test",,1,articles/978/pmcid_4684097/tables/table_000.csv
4684097,jhd-4-3-jhd150160-t002,Table 2,Tracts in which reduced FA was significantly correlated with increased levels of HADS depression for those with high CPO; FWE–corrected threshold of p <  0.05,,2,articles/978/pmcid_4684097/tables/table_001.csv
4684097,jhd-4-3-jhd150160-t003,Table 3,Tracts in which reduced FA was correlated with increased levels of irritability/aggression in those with low CPO; FWE-corrected threshold of p <  0.05,,2,articles/978/pmcid_4684097/tables/table_002.csv
5364534,t1,Table 1,Sample characteristics.,"§MMSE missing for 5 MCI, and 2 SCI.§§Years of education not available for 1 SCI, 4 MCI, 7 AD.†% ε4+ denotes the percentage of participants with known APOE status who had at least one ε4 allele.*Significant main effect of group (P < 0.05) based on univariate linear models. “>” and “<” denote significant group differences (P < 0.05) in the indicated direction based on post-hoc testing using Bonferroni-correction for three comparisons.",1,articles/78c/pmcid_5364534/tables/table_000.csv
3348019,T1,Table 1,10 fiber pathways of the hippocampus found in the human brain,,1,articles/92b/pmcid_3348019/tables/table_000.csv
3348019,T2,Table 2,33 Alzheimer-related genes with many PPIs,,1,articles/92b/pmcid_3348019/tables/table_001.csv
11851321,alz14453-tbl-0001,TABLE 1,"Participants’ demographics, clinical factors, imaging features, and cognitive status","Abbreviations: ALPS, diffusion analysis along the perivascular space; FHS, Framingham Heart Study; UCD_ADRC, University of California Davis Alzheimer's Disease Research Center; UCSF_MAC, University of California San Francisco Memory and Aging Center; UDS3‐EF, composite scores of executive functions derived from the Uniform Data Set (v3.0).",2,articles/ce8/pmcid_11851321/tables/table_000.csv
11851321,alz14453-tbl-0002,TABLE 2,Linear regression and mediation results for the association between ALPS index and EF,"Model1: regressing out Demographics, Model2: regressing out Demographics + VRFs, Model3: regressing out Demographics + VRFs + WMHV.Abbreviations: ALPS, diffusion analysis along the perivascular space; FHS, Framingham Heart Study; UCD_ADRC, University of California Davis Alzheimer's Disease Research Center; UCSF_MAC, University of California San Francisco Memory and Aging Center; UDS3‐EF, composite scores of executive functions derived from the Uniform Data Set (v3.0); WM‐FW, mean free water in the white matter; WMHV, white matter hyperintensity volume log‐transformed and normalized by total intracranial volume.*p < 0.05.**p < 0.01.***p < 0.001.",2,articles/ce8/pmcid_11851321/tables/table_001.csv
7025138,tbl0001,Table 1,Demographic and clinical characteristics of the ADNI participants,,1,articles/b6f/pmcid_7025138/tables/table_000.csv
7025138,tbl0002,Table 2,The number of participants considered for the imaging-clinical/cognition correlation analyses across the five disease categories.,,1,articles/b6f/pmcid_7025138/tables/table_001.csv
7025138,tbl0003,Table 2a,Known pathways enriched in the gene modules significantly correlated with DTI-features in specific brain regions. The column Corrected p-value shows corrected p values for the Spearman's rank correlation between the indicated DTI feature and gene expression module.,,1,articles/b6f/pmcid_7025138/tables/table_002.csv
7025138,tbl0004,Table 3,"Set-based association for 23 IGAP loci and the FA feature using all the common variants (MAF ≥ 0.05) in the neighborhood of the identified risk gene corresponding to each AD risk locus. Empirical p-values were calculated using 20,000 permutations in PLINK.",,1,articles/b6f/pmcid_7025138/tables/table_003.csv
7025138,tbl0005,Table 4,Association of rs2203712 in CELF1 with neuroimaging phenotypes,,1,articles/b6f/pmcid_7025138/tables/table_004.csv
3430626,pone-0043993-t001,Table 1,"Demographics, cognition and behaviour - Comparison on demographics and cognitive tests across ALS, bvFTD and ALS-FTD groups.",F-values indicate significant differences across groups; Tukey post hoc tests compare differences between group pairs.***p<0.001; NS = non-significant.Kruskal-Wallis Test and Mann-Whitney U test were applied for disease duration.ALS = amyotrophic lateral sclerosis; ALS-FTD = ALS with frontotemporal dementia; bvFTD = behavioural variant frontotemporal dementia.ACE-R = Addenbrooke’s Cognitive Examination revised; CBI-R = Cambridge Behavioural Inventory Revised.,1,articles/eec/pmcid_3430626/tables/table_000.csv
6083450,t0005,Table 1,Demographics and clinical characteristics (n = 55).,"Note. SD, standard deviation; AD: Alzheimer's disease; MOCA: Montreal Cognitive Assessment; BVMT-R: Brief visuospatial memory test-revised (participants here had a percentile below the average of age- and education-adjusted population norm); LOC: Locus of control.",1,articles/74f/pmcid_6083450/tables/table_000.csv
11506346,brainsci-14-00975-t001,Table 1,Demographic characteristics of healthy controls and pwMS.,"EDSS: Expanded Disability Status Scale; HCs: healthy controls; MS: multiple sclerosis; MS-no-LUTS: MS patients without lower urinary tract symptoms; MS-OAB: MS patients with OAB; N/A: not applicable; OAB: overactive bladder; pwMS: patients with MS; USP: Urinary Symptom Profile; USP-OAB: USP OAB sub-score. Statistically significant difference was found between HCs and pwMS. MS-no-LUTS and MS-OAB were tested using Chi Square test, student’s t-test, and Mann–Whitney U test. a: statistical difference between HCs and pwMS; b: statistical difference between MS-no-LUTS and MS-OAB. *: p < 0.05; **: p < 0.01.",1,articles/b04/pmcid_11506346/tables/table_000.csv
11506346,brainsci-14-00975-t002,Table 2,"FA values of mean skeleton in HCs, pwMS, and pwMS sub-groups.",FA: fractional anisotropy; HCs: healthy controls; MS: multiple sclerosis; MS-no-LUTS: MS patients without lower urinary tract symptoms; MS-OAB: MS patients with OAB; N/A: not applicable; pwMS: patients with MS. Statistically significant difference was found between HCs and pwMS. MS-no-LUTS and MS-OAB were tested using Mann–Whitney U test. *: p < 0.05; **: p < 0.01.,1,articles/b04/pmcid_11506346/tables/table_001.csv
11506346,brainsci-14-00975-t003,Table 3,Correlations between FA values and clinical scores.,Spearman’s correlations between FA value and age; EDSS and USP-OAB sub-score were tested in HCs and pwMS. EDSS: Expanded Disability Status Scale; FA: fractional anisotropy; MS: multiple sclerosis; N/A: not applicable; p: p-value of correlation; pwMS: patients with MS; r: Spearman’s correlation coefficient (two-tailed); USP-OAB: Urinary Symptom Profile OAB sub-score. *: p < 0.05; **: p < 0.01.,1,articles/b04/pmcid_11506346/tables/table_002.csv
5329061,T1,Table 1,"The 45 participants of the study and their corresponding class, sex, age and educational level.",,2,articles/8bc/pmcid_5329061/tables/table_000.csv
5329061,T2,Table 2,P-values by age and educational level on binary discrimination.,,1,articles/8bc/pmcid_5329061/tables/table_001.csv
5329061,T3,Table 3,"Performance results of the base classifiers as well as the ensemble in AD-CT, AD-MCI, and MCI-CT classification tasks.",All the listed classifiers were tested within a five-fold cross validation module.Feature selection was used for all the base classifiers as it improved their performance.The best results for each column were bolded.,3,articles/8bc/pmcid_5329061/tables/table_002.csv
5329061,T4,Table 4,"Accuracy metric 95% confidence intervals for the ensemble classifier with feature selection in AD-CT, AD-MCI, and MCI-CT classification tasks.",,2,articles/8bc/pmcid_5329061/tables/table_003.csv
5329061,T5,Table A1,Statistical comparison of the key DTI biomarkers at the group level.,"*p < 0.05,**p < 0.01.",3,articles/8bc/pmcid_5329061/tables/table_004.csv
5329061,T6,Table A2,Quantitative results for diagnostic propose of AD and amnesic MCI.,,1,articles/8bc/pmcid_5329061/tables/table_005.csv
4629464,T1,Table 1,Demographic and clinical features.,"Values are expressed as mean ± SD.aThe p-values were calculated using the one-way ANOVA; Bonferroni post hoc test was also performed when F-test was significant.bMain interaction among groups: F2,42 = 0.743, p = 0.482.cThe p-values were calculated using chi-squared test: χ12=0.47,p=0.977.dThe p-values were calculated using the independent-samples t-test: t26 = −0.291, p = 0.773.eMain interaction among groups: F2,42 = 0.92, p = 0.912.fThe p-values were calculated using the independent-samples t-test: t26 = 0.045; p = 0.565.gMain interaction among groups: F2,42 = 30.435, p < 0.001; post hoc: controls vs. AD, p < 0.001; controls vs. DLB, p < 0.001 and AD vs. DLB, p = 1.000.hMain interaction among groups: F2,41 = 70.276, p < 0.001; post hoc: controls vs. AD, p < 0.001; controls vs. DLB, p < 0.001 and AD vs. DLB, p = 0.242.iMain interaction among groups: F2,42 = 88.905, p < 0.001; post hoc: controls vs. AD, p < 0.001; controls vs. DLB, p < 0.001 and AD vs. DLB, p = 1.000.jKruskal–Wallis main interaction among groups: χ22=4.985,P=0.083.AD, Alzheimer’s Disease; CAF, clinician assessment of fluctuations; DLB, dementia with Lewy bodies; CDR, Clinical Dementia Rating, DRS, Dementia Rating Scale; FAB, frontal assessment battery; MMSE, mini mental state examination; NPI, neuropsychiatric inventory; UPDRSIII, Unified Parkinson’s Disease Rating Scale-motor section III; DHWM, hyperintense signal abnormalities in the deep white matter.",1,articles/770/pmcid_4629464/tables/table_000.csv
4629464,T2,Table 2,Mean DTI-metrics values of left and right white matter tracts for each group.,"aValues ×10−3 mm2/s.Table reports the DTI-metrics values (mean ± SD) and the statistical outcomes (derived from t-test for independent samples and Bonferroni’s correction) for tracts showing significant differences among groups. Bold characters indicate statistically significant results. The complete statistical results for each metric and tract were reported in Tables S1–S4 in Supplementary Material.AD, Alzheimer’s Disease; DLB, dementia with Lewy bodies; FA, fractional anisotropy; MD, mean diffusivity; RD, radial diffusivity; DA, axial diffusivity; ATR, anterior thalamic radiation, CAB, cingulum-angular (infracallosal) bundle, CCG, cingulum-cingulate gyrus (supracallosal) bundle, ILF, inferior longitudinal fasciculus, UNC, uncinate fasciculus.",1,articles/770/pmcid_4629464/tables/table_001.csv
10877805,Tab1,Table 1,Demographic data of participants along AD continuum,"The log-transformed WMH volume is used to represent the burden of white matter hyperintensity (WMH)The choroid volume (mm3)/TIV (ml)*103 is used to represent choroid plexus volumeCN Cognitive normal, MCI Mild cognitive impairment, AD Alzheimer’s disease, TIV Total intracranial volume, WMH White matter hyperintensity, PVS Perivascular spaceaOne CN − and 4 CN + participants without the information of APOE status",1,articles/ac7/pmcid_10877805/tables/table_000.csv
10877805,Tab2,Table 2,The association of basal ganglia PVS and white matter PVS with WMH burden and Aβ in amyloid positive participants,"Model 1: age, sex, and TIV were included as covariatesModel 2: age, sex, TIV, and APOE status were included as covariatesTIV Total intracranial volume, WMH White matter hyperintensity, PVS Perivascular space",2,articles/ac7/pmcid_10877805/tables/table_001.csv
10877805,Tab3,Table 3,The association between glymphatic markers and cognitive domains,"PVS Perivascular space, FDR False discovery rate",2,articles/ac7/pmcid_10877805/tables/table_002.csv
11303796,Tab1,Table 1,Demographic and clinical data for LLD and HC groups.,"All results are given as mean ± and standard deviation (std) and the range for LLD and HC. AES Apathy Evaluation Scale, MADRS Montgomery-Asberg Depression Rating Scale, DRS Mattis Dementia Rating Scale, TMT Trail Making Test, TMT B-A difference in scores between versions B and A of the Trail Making test, t Student’s t statistics, U Mann–Whitney U statistics, \documentclass[12pt]{minimal}
				\usepackage{amsmath}
				\usepackage{wasysym} 
				\usepackage{amsfonts} 
				\usepackage{amssymb} 
				\usepackage{amsbsy}
				\usepackage{mathrsfs}
				\usepackage{upgreek}
				\setlength{\oddsidemargin}{-69pt}
				\begin{document}$$\chi ^2$$\end{document}χ2 Chi-squared statistics.",1,articles/18a/pmcid_11303796/tables/table_000.csv
3792746,t0035,Table S1,"Distribution of study
participants by diagnostic group across each of
the 14 acquisition sites. We report the
p-values from a
χ2 test
between the actual and expected distribution of
subjects, which we estimated based on the total
number of subjects in each diagnostic group, as a
proportion of the total, across sites. Although
numbers for some sites are small, there is no
evidence that any site is enrolling a
statistically divergent proportion of subjects in
each category.",,1,articles/128/pmcid_3792746/tables/table_000.csv
3792746,t0040,Table S2,"Atlas TBSS ROI average
anisotropy and diffusivity. While many regions
were statistically significant (Benjamini and Hochberg,
1995), here we highlight regions
with the “top 10” significant
p-values (greatest effect
sizes) when comparing mean values between
diagnostic groups. We also note the total number
of significant ROIs (after FDR correction) out of
the 43 tested and the critical FDR
p-value.",,2,articles/128/pmcid_3792746/tables/table_001.csv
3792746,t0045,Table S3,"Atlas TBSS ROI average
anisotropy and diffusivity. Here we highlight
regions with the 10 lowest FDR significant
(Benjamini and Hochberg, 1995)
p-values (greatest effect
sizes) when assessing cognitive test score
associations in the entire study population. We
also note the total number of significant ROIs
(after FDR correction) out of the 43 tested and
the critical FDR
p-value.",,2,articles/128/pmcid_3792746/tables/table_002.csv
3792746,t0050,Table S4,"Atlas TBSS ROI average
anisotropy and diffusivity. Here we highlight
regions with the 10 lowest FDR significant
(Benjamini and Hochberg, 1995)
p-values (greatest effect
sizes) when assessing cognitive test score
associations in MCI subjects. We also note the
total number of significant ROIs (after FDR
correction) out of the 43 tested and the critical
FDR
p-value.",,2,articles/128/pmcid_3792746/tables/table_003.csv
3792746,t0005,Table 1,"Demographics and clinical scores for the
participants.",Bold signifies significant (i.e. p < 0.05).,2,articles/128/pmcid_3792746/tables/table_004.csv
3792746,t0010,Table 2,"Index of 43 ROIs from the WM tract atlas (Mori et al., 2008) followed by
their abbreviations.",,1,articles/128/pmcid_3792746/tables/table_005.csv
3792746,t0015,Table 3,"Atlas ROI average anisotropy and diffusivity. While many
regions were statistically significant (Benjamini and Hochberg, 1995), here we highlight regions
with the “top 10” significant p-values (greatest effect
sizes) when comparing mean values between diagnostic groups (in the left column
we show the diagnostic groups being compared). We also note the total number of
significant ROIs (after FDR correction) out of the 43 tested and the critical
FDR p-value.",,2,articles/128/pmcid_3792746/tables/table_006.csv
3792746,t0020,Table 4,"Atlas ROI average anisotropy and diffusivity. Here we
highlight regions with the 10 lowest FDR significant (Benjamini and Hochberg, 1995)
p-values (greatest effect sizes) when assessing
cognitive test score associations in the entire study population. We also note
the total number of significant ROIs (after FDR correction) out of the 43 tested
and the critical FDR p-value.",,2,articles/128/pmcid_3792746/tables/table_007.csv
3792746,t0025,Table 5,"Atlas ROI average anisotropy and diffusivity. Here we
highlight regions with the “top 10” FDR significant (Benjamini and Hochberg, 1995)
p-values (greatest effect sizes) when assessing
cognitive test score associations within diagnostic subgroups. We also note the
total number of significant ROIs (after FDR correction) out of the 43 tested and
the critical FDR p-value.",,2,articles/128/pmcid_3792746/tables/table_008.csv
3792746,t0030,Table 6,"Cognitive correlates of the average anisotropy and
diffusivity in different atlas regions of interest. Here we highlight regions
with the “top 10” FDR significant (Benjamini and Hochberg, 1995)
p-values (greatest effect sizes) when assessing executive
function (ADNI-EF) and memory (ADNI-MEM) composite neuropsychological score
associations in the entire study population. We also note the total number of
significant ROIs (after FDR correction) out of the 43 tested and the critical
FDR p-value.",,2,articles/128/pmcid_3792746/tables/table_009.csv
10177535,cells-12-01220-t001,Table 1,Characteristics of AD and control group.,"Data are expressed as mean ± standard deviation. MMSE—the Mini-Mental State Examination, n.s.—not significant.",1,articles/4b8/pmcid_10177535/tables/table_000.csv
10177535,cells-12-01220-t002,Table 2,"Overview of the DTI parameters in patients with Alzheimer’s disease and controls. NT = the number of tracts, TL = tract length, TV = tract volume, QA = quantitative anisotropy, nQA = normalized quantitative anisotropy, GFA = generalized fractional anisotropy, unit = stands for absolute numbers, AD = Alzheimer‘s disease patients, ctrl = healthy control group. The data are reported as mean values ± standard deviation (SD); * p ≤ 0.01, ** p ≤ 0.001.",,1,articles/4b8/pmcid_10177535/tables/table_001.csv
10177535,cells-12-01220-t003,Table 3,"The difference in the basal ganglia structures volumes and the total brain volume in Alzheimer’s disease patients and controls as estimated by FreeSurfer. The values are reported in µm3, n.s. = not significant.",,1,articles/4b8/pmcid_10177535/tables/table_002.csv
9014677,table1-0271678X211058803,Table 1.,Baseline characteristics of participants.,"Values are reported as means (standard deviation) or as numbers and
frequency in %.",1,articles/0c7/pmcid_9014677/tables/table_000.csv
11680639,Tab1,Table 1,Clinical data and PSMD value of SIVD and NC,"Note: Continuous Variables, for example age, education, MoCA scores, SAT and PSMD, were presented as mean± standard deviation. SIVD, subcortical ischemic vascular disease; NC, normal control; MoCA, montreal cognitive assessment; SAT, speed-accuracy trade-Off; PSMD, peak width of skeletonized mean diffusivity",1,articles/eb1/pmcid_11680639/tables/table_000.csv
11680639,Tab2,Table 2,The difference of gait parameters between SIVD and NC,"Note: Continuous Variables were presented as mean± standard deviation. SIVD, Subcortical ischemic vascular disease; NC, normal control",1,articles/eb1/pmcid_11680639/tables/table_001.csv
11680639,Tab3,Table 3,"The relationships among gait parameters, cognition function and PSMD","MoCA, montreal cognitive assessment; SAT, speed-accuracy trade-off; PSMD, peak width of skeletonized mean diffusivity",1,articles/eb1/pmcid_11680639/tables/table_002.csv
11680639,Tab4,Table 4,The relationships between gait parameters and the FA values of white matter tracts,"Note: FA, Fractional anisotropy; GCC, Genu of corpus callosum; BCC, Body of corpus callosum; SCC, Splenium of corpus callosum; R-ACR, Right Anterior corona radiata; L-ACR, Left Anterior corona radiata",1,articles/eb1/pmcid_11680639/tables/table_003.csv
11680639,Tab5,Table 5,The relationships between gait parameters and the MD values of white matter tracts,"Note: MD, Mean diffusivity; GCC, Genu of corpus callosum; BCC, Body of corpus callosum; SCC, Splenium of corpus callosum; R-SCR, Right Superior corona radiata; L-SCR, Left Superior corona radiata; L-EC, Left External capsule; R-SLF, Right Superior longitudinal fasciculus; L-SLF, Left Superior longitudinal fasciculus",1,articles/eb1/pmcid_11680639/tables/table_004.csv
7934686,tomography-07-00003-t001,Table 1,Subject characteristics and clinical scores.,"Group demographics for each acquisition with the Mini-Mental State Examination (MMSE), Montreal Cognitive Assessment (MoCA), and Alzheimer’s Disease Assessment Scale (ADAS) scores, given as mean (SD). * Significant differences across groups and acquisitions.",1,articles/368/pmcid_7934686/tables/table_000.csv
7934686,tomography-07-00003-t002,Table 2,Fitting algorithms and software tools used in this study.,Fitting algorithms and software tools used in this study. The default for AFNI is –nonlinear.,1,articles/368/pmcid_7934686/tables/table_001.csv
7934686,tomography-07-00003-t003,Table 3,Summary of results for FA by combining all fits and all acquisitions.,Summary of results for FA by combining all fits and all acquisitions. The ‘Volume %’ is the percent volume of the clusters within the corresponding brain area. No significant differences were observed between HC and MCI groups during post hoc comparisons.,1,articles/368/pmcid_7934686/tables/table_002.csv
3839877,pone-0081419-t001,Table 1,Background information for the total sample and for the two age groups.,"* p < 0.05, ** p < 0.01, *** p < 0.001, significantly different from the 60-72 years age groupNote. FA = fractional anisotropy, MD = mean diffusivity, CCG = cingulum cingulate gyrus, CHC = cingulum hippocampus, CS = corticospinal tract, FMAJ = forceps major, FMIN = forceps minor, IFOF = inferior fronto-occipital Fasciculus, SLF = superior longitudinal Fasciculus, PS = perceptual speed, EM = episodic memory, SM = semantic memory, LET_FLU = letter fluency, CAT_FLU = category fluency. All FA and MD variables have been multiplied with 100 to make the variances more similar to those of the cognitive variables.",3,articles/8e6/pmcid_3839877/tables/table_000.csv
3839877,pone-0081419-t002,Table 2,Correlations of FA and MD in the seven latent white matter tracts to performance in the five cognitive domains for the total sample and for the two age groups.,"*p < 0.05Note. FA = fractional anisotropy, MD = mean diffusivity, CCG = cingulum cingulate gyrus, CHC = cingulum hippocampus, CS = corticospinal tract, FMAJ = forceps major, FMIN = forceps minor, IFOF = inferior fronto-occipital Fasciculus, SLF = superior longitudinal Fasciculus, PS = perceptual speed, EM = episodic memory, SM = semantic memory, LET_FLU = letter fluency, CAT_FLU = category fluency. All analyses were adjusted for age.",2,articles/8e6/pmcid_3839877/tables/table_001.csv
3839877,pone-0081419-t003,Table 3,Correlation coefficients of FA and MD to perceptual speed before and after exclusion of persons in a preclinical dementia phase.,"* p < 0.05, **p < 0.01Note. FA = fractional anisotropy, MD = mean diffusivity, CCG = cingulum cingulate gyrus, CHC = cingulum hippocampus, CS = corticospinal tract, FMAJ = forceps major, FMIN = forceps minor, IFOF = inferior fronto-occipital Fasciculus, SLF = superior longitudinal fasciculus. All analyses were adjusted for age.",3,articles/8e6/pmcid_3839877/tables/table_002.csv
8824472,table1,Table 1.,Demographics.,,1,articles/2f7/pmcid_8824472/tables/table_000.csv
3632543,pone-0061014-t001,Table 1,Demographics of SVD and control groups.,BP–Blood Pressure; DM–Diabetes Mellitus; BMI–Body Mass Index. All values are Mean (SD) or proportion (%) as specified. Independent sample t-test or Chi-squared analysis used as appropriate.,1,articles/6ff/pmcid_3632543/tables/table_000.csv
3632543,pone-0061014-t002,Table 2,MRI results in SVD cases and controls.,"Values: Mean (Standard Deviation). Quartile descriptives: Minimum, lower quartile, median, upper quartile, maximum; NBV–Normalised Brain Volume, WMH–White Matter Hyperintensity.CMB–Cerebral Microbleed.",1,articles/6ff/pmcid_3632543/tables/table_001.csv
3632543,pone-0061014-t003,Table 3,DTI Histogram Group Results.,Std. Deviation–Standard Deviation; Peak Location–mode of the histogram; Peak Height–normalised frequency of the mode. Test results in bold are significant at p<0.05 level (uncorrected).,1,articles/6ff/pmcid_3632543/tables/table_002.csv
3632543,pone-0061014-t004,Table 4,Predictors of key cognitive domains in SVD.,"Values show Standardised regression coefficients: β (p-value) for predictor variables in regression models of: EF-Executive Function, and PS–Processing Speed.1Single variable models control for effects of age, gender and NART-IQ. Values in Bold remain significant after multiple comparisons correction (Holm-Bonferroni).2Multiple variable models include all the terms indicated as well as age, gender and NART-IQ. A subset of variables were included in the multi-predictor models, as described in the statistical analysis part of the methods section. Models were highly significant: EF: R2 = 0.60; F(8,105) = 19.8, p<0.0001; PS: R2 = 0.49; F(8,105) = 12.8, p<0.0001. Significant terms in each model are highlighted in bold.",2,articles/6ff/pmcid_3632543/tables/table_003.csv
3776403,T1,Table 1,D-KEFS test scores used as variables in the PCA with loading for each variable,Scores with the strongest loading on each component are indicated in bold type.,2,articles/304/pmcid_3776403/tables/table_000.csv
3776403,T2,Table 2,Scaled scores on the D-KEFS battery in ALS and PLS patients,Scaled scores are normed for age and education. Normal mean = 10; SD = 3. Subscores used as variables in the PCA are in bold.,2,articles/304/pmcid_3776403/tables/table_001.csv
3776403,T3,Table 3,"Characteristics of the patient and control groups, and subsets participating in imaging studies","Values represent means±SD, except for the male:female ratio. * p < 0.05 vs. ALS. 1 Studies with atlas-based analysis.",2,articles/304/pmcid_3776403/tables/table_002.csv
3776403,T4,Table 4,Association of neuropsychological test performance with diffusion properties of white matter tracts,,1,articles/304/pmcid_3776403/tables/table_003.csv
10393263,tab1,Table 1,Baseline and follow up characteristics of study cohort (n = 531).,"Detailed demographic, clinical characteristics, neuroimaging data and cognitive outcomes in the high (above median) versus low (below median) ICC score groups. Entries are mean (SD) or n and %, as indicated. Significant results are shown in bold (p < 0.05). *Global assessment of stenosis in the cranio-cervical vessels on CTA. λ⊥, axial diffusivity; λ||, radial diffusivity; FA, fractional anisotropy; GM, gray matter; ICV, intracranial volume; IQR, interquartile range; MD, mean diffusivity; MoCA, Montreal Cognitive Assessment; MRI, Magnetic resonance imaging; NAWM, normal-appearing white matter; NIHSS, National Institutes of Health Stroke Scale; SD, standard deviation; T2DM, Type 2 diabetes mellitus; TIA, transient ischemic attack; WM, white matter.",1,articles/935/pmcid_10393263/tables/table_000.csv
10393263,tab2,Table 2,"Multiple regression models exploring the relation between ICC score, advanced MRI measures, and long-term cognitive function.","Multiple regression models exploring the association between the ICC score, advanced brain MRI measures and long-term cognitive function. Model 1 – unadjusted. Model 2 – adjusted for age, gender, education years and vascular risk factors: history of hypertension, T2DM, dyslipidemia. Model 3 – adjusted for age, gender, education years, stroke severity (NIHSS) and the presence of acute lesion in MRI. Significant results (p < 0.05) are shown in bold. ICC, Intra cranial calcium; MRI, magnetic resonance imaging; DA, axial diffusivity; λ⊥, axial diffusivity; λ||, radial diffusivity; GM, gray matter; ICV, intracranial volume; MD, mean diffusivity; NAWM, normal-appearing white matter; SE, standard error; T2DM, Type 2 diabetes mellitus; WM, white matter; TIA, transient ischemic attack; NIHSS, National Institutes of Health Stroke Scale. Entries are mean (SD) or n and %, as indicated. Significant results are shown in bold (p < 0.05).",2,articles/935/pmcid_10393263/tables/table_001.csv
10393263,tab3,Table 3,Univariate and multivariate predictors of post-stroke-cognitive-impairment (PSCI) within 24 months from stroke.,"Univariate and multivariate predictors of post-stroke-cognitive-impairment (PSCI) within 24 months from stroke. PSCI was defined as a diagnosis of either MCI or dementia throughout the 24 months follow-up. CI, confidence interval; ICC, Intra cranial calcium; MRI, Magnetic Resonance Imaging. Significant results are shown in bold (p < 0.05).",1,articles/935/pmcid_10393263/tables/table_002.csv
8500888,Tab1,Table 1,Sample characteristics,"* Composite scores computed as the average of demographically adjusted z-scores of measures within that cognitive domain** Hippocampal volume was normalized by dividing by total intracranial volume and then multiplying by 1,000Abbreviations: FSRP = updated Framingham Stroke Risk Profile (Dufouil et al. 2017); GDS = Geriatric Depression Scale; DRS = Dementia Rating Scale; ANART = American National Adult Reading Test; VIQ = verbal intelligence quotient",1,articles/b1d/pmcid_8500888/tables/table_000.csv
8500888,Tab2,Table 2,Multiple hierarchical linear regression models for association of fornix MWF and memory functioning adjusting for demographics and vascular risk burden,Abbreviations: FSRP = updated Framingham Stroke Risk Profile (Dufouil et al. 2017); MWF = myelin water fraction* Note males served as the reference groupStatistically significant (p < .05) results appear in bold font,1,articles/b1d/pmcid_8500888/tables/table_001.csv
8500888,Tab3,Table 3,"Multiple hierarchical linear regression models for association of fornix MWF and memory functioning adjusting for demographics, vascular risk burden, hippocampal volume, and fornix DTI FA",Abbreviations: MWF = myelin water fraction; DTI = diffusion tensor imaging; FA = fractional anisotropy; FSRP = updated Framingham Stroke Risk Profile (Dufouil et al. 2017)* Note males served as the reference group; Statistically significant (p < .05) results appear in bold font,1,articles/b1d/pmcid_8500888/tables/table_002.csv
5539622,Tab1,Table 1,"Demographics, Aβ and neuropsychological test scores for each participant group","Aβ and test scores are corrected for age, sex and educationValues are shown as mean ± standard error unless otherwise notedap < 0.01, compared to HC; bp < 0.001, compared to HC; cp < 0.001, compared to MCI, with Bonferroni correction for multiple comparisonsAβ amyloid-β, AD Alzheimer’s disease, ANART-VIQ, American National Reading Test Verbal IQ, CERAD-DR Consortium to Establish a Registry for Alzheimer’s Disease delayed recall, CVLT-LFR California Verbal Learning Test long delay free recall, CVLT-SFR California Verbal Learning Test short delay free recall, DRS Dementia Rating Scale, FAQ Functional Assessment Questionnaire, HC healthy controls, LMI Logical Memory immediate, LMD Logical Memory delayed, MCI mild cognitive impairment",1,articles/6c5/pmcid_5539622/tables/table_000.csv
